iter	Passed	Remaining
405	6856	10031
406	6872	10013
407	6889	9997
408	6906	9979
409	6923	9962
410	6940	9946
411	6957	9929
412	6973	9911
413	6990	9894
414	7006	9876
415	7023	9859
416	7039	9841
417	7056	9824
418	7072	9807
419	7089	9790
420	7105	9772
421	7123	9756
422	7138	9738
423	7155	9720
424	7171	9702
425	7188	9685
426	7204	9668
427	7221	9650
428	7237	9633
429	7254	9616
430	7272	9601
431	7289	9584
432	7308	9569
433	7325	9553
434	7343	9537
435	7362	9523
436	7379	9507
437	7397	9491
438	7413	9474
439	7431	9458
440	7448	9441
441	7465	9424
442	7482	9407
443	7499	9391
444	7516	9374
445	7532	9356
446	7549	9339
447	7565	9322
448	7582	9305
449	7598	9287
450	7616	9270
451	7632	9253
452	7649	9236
453	7665	9219
454	7682	9202
455	7699	9185
456	7716	9168
457	7732	9150
458	7749	9134
459	7765	9116
460	7783	9100
461	7799	9082
462	7816	9065
463	7833	9049
464	7850	9032
465	7866	9014
466	7883	8997
467	7901	8981
468	7918	8964
469	7934	8947
470	7951	8930
471	7967	8913
472	7986	8897
473	8006	8884
474	8023	8868
475	8040	8851
476	8057	8834
477	8074	8817
478	8091	8801
479	8109	8785
480	8126	8768
481	8142	8751
482	8159	8734
483	8176	8717
484	8194	8701
485	8210	8683
486	8227	8666
487	8243	8648
488	8259	8631
489	8275	8613
490	8292	8596
491	8308	8578
492	8324	8561
493	8341	8543
494	8357	8526
495	8374	8509
496	8391	8492
497	8407	8475
498	8424	8458
499	8441	8441
500	8457	8423
501	8473	8405
502	8490	8389
503	8506	8371
504	8523	8355
505	8539	8337
506	8555	8319
507	8572	8302
508	8589	8285
509	8606	8268
510	8622	8251
511	8638	8233
512	8655	8216
513	8671	8199
514	8688	8182
515	8705	8165
516	8721	8147
517	8738	8131
518	8754	8113
519	8771	8096
520	8788	8079
521	8805	8063
522	8822	8046
523	8838	8028
524	8854	8010
525	8870	7993
526	8887	7976
527	8903	7958
528	8920	7942
529	8936	7924
530	8952	7907
531	8968	7889
532	8985	7873
533	9002	7856
534	9018	7838
535	9035	7821
536	9052	7805
537	9068	7787
538	9085	7770
539	9102	7753
540	9118	7736
541	9135	7719
542	9151	7702
543	9168	7685
544	9186	7669
545	9203	7652
546	9220	7636
547	9237	7619
548	9254	7602
549	9271	7585
550	9288	7568
551	9305	7552
552	9322	7535
553	9339	7518
554	9355	7501
555	9373	7484
556	9390	7468
557	9407	7451
558	9424	7434
559	9441	7418
560	9458	7401
561	9475	7384
562	9491	7367
563	9509	7351
564	9526	7334
565	9543	7317
566	9559	7300
567	9576	7283
568	9593	7266
569	9609	7249
570	9626	7232
571	9642	7215
572	9659	7197
573	9676	7181
574	9693	7164
575	9709	7147
576	9726	7130
577	9742	7112
578	9758	7095
579	9776	7079
580	9792	7062
581	9809	7045
582	9826	7028
583	9842	7010
584	9859	6994
585	9876	6977
586	9893	6961
587	9911	6944
588	9927	6927
589	9944	6910
590	9961	6893
591	9978	6876
592	9994	6859
593	10010	6842
594	10027	6825
595	10042	6807
596	10059	6790
597	10076	6773
598	10093	6756
599	10110	6740
600	10125	6722
601	10141	6705
602	10158	6688
603	10175	6671
604	10191	6654
605	10208	6636
606	10225	6620
607	10241	6603
608	10258	6586
609	10275	6569
610	10291	6552
611	10308	6535
612	10325	6518
613	10342	6502
614	10359	6485
615	10376	6468
616	10393	6451
617	10411	6435
618	10427	6418
619	10444	6401
620	10461	6384
621	10478	6367
622	10495	6351
623	10511	6334
624	10529	6317
625	10545	6300
626	10561	6283
627	10578	6266
628	10596	6249
629	10613	6233
630	10630	6216
631	10646	6199
632	10663	6182
633	10680	6165
634	10697	6149
635	10714	6132
636	10731	6115
637	10747	6098
638	10765	6081
639	10781	6064
640	10798	6047
641	10815	6031
642	10831	6013
643	10848	5996
644	10865	5980
645	10881	5962
646	10898	5946
647	10915	5929
648	10931	5911
649	10947	5894
650	10964	5878
651	10982	5861
652	11000	5845
653	11017	5828
654	11034	5811
655	11050	5794
656	11067	5778
657	11084	5761
658	11101	5744
659	11117	5727
660	11133	5709
661	11149	5692
662	11166	5675
663	11183	5658
664	11198	5641
665	11215	5624
666	11230	5607
667	11247	5589
668	11263	5573
669	11281	5556
670	11297	5539
671	11314	5522
672	11330	5505
673	11347	5488
674	11364	5471
675	11380	5454
676	11397	5437
677	11413	5420
678	11430	5403
679	11446	5386
680	11463	5369
681	11480	5352
682	11496	5335
683	11512	5318
684	11529	5301
685	11545	5284
686	11562	5267
687	11578	5250
688	11595	5233
689	11611	5216
690	11628	5200
691	11645	5183
692	11662	5166
693	11678	5149
694	11695	5132
695	11711	5115
696	11727	5098
697	11745	5081
698	11761	5064
699	11777	5047
700	11794	5030
701	11811	5013
702	11827	4996
703	11844	4980
704	11860	4963
705	11876	4945
706	11893	4928
707	11910	4912
708	11926	4895
709	11943	4878
710	11960	4861
711	11977	4844
712	11993	4827
713	12009	4810
714	12025	4793
715	12041	4776
716	12058	4759
717	12075	4742
718	12091	4725
719	12108	4708
720	12124	4691
721	12141	4674
722	12158	4658
723	12174	4641
724	12190	4624
725	12207	4607
726	12223	4590
727	12240	4573
728	12257	4556
729	12273	4539
730	12290	4522
731	12306	4505
732	12322	4488
733	12339	4471
734	12357	4455
735	12373	4438
736	12390	4421
737	12406	4404
738	12422	4387
739	12439	4370
740	12456	4353
741	12472	4336
742	12488	4319
743	12504	4302
744	12521	4285
745	12537	4268
746	12554	4252
747	12570	4235
748	12587	4218
749	12603	4201
750	12620	4184
751	12637	4167
752	12654	4150
753	12670	4133
754	12686	4116
755	12703	4099
756	12719	4082
757	12735	4066
758	12752	4049
759	12768	4032
760	12785	4015
761	12802	3998
762	12819	3981
763	12835	3964
764	12852	3948
765	12868	3931
766	12884	3914
767	12901	3897
768	12917	3880
769	12934	3863
770	12951	3846
771	12967	3829
772	12984	3813
773	13001	3796
774	13017	3779
775	13033	3762
776	13050	3745
777	13068	3728
778	13085	3712
779	13102	3695
780	13118	3678
781	13135	3661
782	13152	3645
783	13169	3628
784	13185	3611
785	13203	3594
786	13220	3577
787	13236	3561
788	13254	3544
789	13270	3527
790	13287	3510
791	13305	3494
792	13321	3477
793	13338	3460
794	13354	3443
795	13371	3426
796	13388	3410
797	13404	3393
798	13420	3376
